"","Farmer_ID","Districts","Paddy_harvesting_date","Wheat_sowing_date","Drought_faced","days_between"
"32",699798892110,"Rohtas",2022-12-21,2022-12-21,0,0
"33",718709646390,"Rohtas",2022-12-04,2022-12-07,0,3
"34",728210975023,"Rohtas",2022-12-25,2023-01-24,0,30
"35",739546391013,"Rohtas",2022-11-04,2022-11-15,0,11
"36",749199185627,"Rohtas",2022-11-17,2022-11-30,0,13
"37",759973197505,"Rohtas",2022-12-17,2022-12-16,0,-1
"38",769771366096,"Rohtas",2022-12-07,2022-12-17,0,10
"39",779065524699,"Rohtas",2022-12-03,2022-12-09,0,6
"40",788521409439,"Rohtas",2022-12-28,2022-12-25,0,-3
"41",799661223276,"Rohtas",2022-11-22,2023-01-02,0,41
"42",827479911021,"Rohtas",2022-12-18,2022-12-25,0,7
"43",839576237612,"Rohtas",2022-12-21,2022-12-31,0,10
"44",846204178030,"Gaya",2022-11-12,2022-12-10,1,28
"45",857277377238,"Gaya",2022-12-06,2022-12-26,1,20
"46",878084763403,"Gaya",2023-01-01,2023-01-17,1,16
"47",889939014482,"Gaya",2022-12-09,2022-12-28,1,19
"48",898757854371,"Gaya",2022-12-01,2022-12-20,1,19
"49",909102843386,"Gaya",2022-11-09,2022-12-14,1,35
"50",919771920283,"Gaya",2022-12-06,2022-12-13,1,7
"51",937992388795,"Buxar",2022-11-30,2022-12-07,0,7
"52",947764992172,"Buxar",2022-11-12,2022-11-18,0,6
"53",968521674081,"Buxar",2022-11-28,2022-12-03,0,5
"54",999801088398,"Vaishali",2022-11-21,2022-12-16,1,25
"55",1007739000861,"Buxar",2022-11-27,2022-12-01,0,4
"56",1027544064073,"Buxar",2022-11-17,2022-12-08,0,21
"57",1057484958867,"Rohtas",2022-12-02,2022-12-24,0,22
"58",1078292501544,"Rohtas",2022-11-15,2022-12-20,0,35
"59",1089939657082,"Rohtas",2022-12-03,2022-12-09,0,6
"60",1098002688709,"Buxar",2022-12-06,2022-12-15,0,9
"61",1109102791827,"Vaishali",2022-10-10,2022-11-17,1,38
"62",1119304130537,"Buxar",2022-12-22,2022-12-25,1,3
"63",1127488287803,"Buxar",2022-12-02,2022-12-15,1,13
"64",1137488360724,"Buxar",2022-11-25,2022-11-22,1,-3
"65",1179955800265,"Buxar",2022-12-08,2022-12-16,0,8
"66",1189128317652,"Buxar",2022-12-04,2022-12-01,0,-3
"67",1199708051210,"Buxar",2022-12-16,2022-12-26,0,10
"68",1207254825621,"Vaishali",2022-11-08,2022-12-27,1,49
"69",1219431027350,"Vaishali",2022-11-27,2022-12-07,1,10
"70",1226202038478,"Buxar",2022-12-01,2022-12-15,0,14
"71",1239973190653,"Buxar",2022-11-29,2022-11-24,0,-5
"72",1247761908735,"Buxar",2022-12-02,2022-12-14,0,12
"73",1259939474529,"Buxar",2022-11-13,2022-11-17,0,4
"74",1277763056389,"Buxar",2022-11-23,2022-12-06,0,13
"75",1298271397972,"Banka",2022-11-20,2022-11-29,1,9
"76",1308084761941,"Banka",2022-11-16,2022-12-17,1,31
"77",1316204173978,"Banka",2022-11-11,2022-12-04,1,23
"78",1339006191042,"Banka",2022-12-27,2023-01-13,1,17
"79",1348102056253,"Banka",2022-11-21,2022-12-13,1,22
"80",1368252912246,"Banka",2022-11-09,2022-11-29,1,20
"81",1387217752054,"Banka",2022-12-08,2022-12-18,1,10
"82",1397903747796,"Banka",2022-11-08,2022-11-25,1,17
"83",1419939860302,"Banka",2022-11-27,2022-12-26,1,29
"84",1449504336387,"Rohtas",2022-12-04,2022-12-03,0,-1
"85",1459631716862,"Rohtas",2022-12-01,2022-12-13,0,12
"86",1469801285286,"Rohtas",2022-12-29,2023-01-03,0,5
"87",1476204730956,"Rohtas",2022-11-28,2022-12-05,0,7
"88",1487050170221,"Buxar",2022-11-28,2022-12-20,0,22
"89",1499661548394,"Buxar",2022-11-27,2022-12-06,0,9
"90",1507488107205,"Buxar",2022-12-16,2022-12-28,0,12
"91",1516203377808,"Buxar",2022-11-26,2022-12-17,0,21
"92",1548521992716,"Buxar",2022-11-21,2022-12-07,0,16
"93",1558709723377,"Buxar",2022-11-25,2022-12-12,0,17
"94",1579162350294,"Buxar",2022-11-27,2022-12-01,0,4
"95",1597782022054,"Buxar",2022-12-02,2022-12-20,0,18
"96",1609934620239,"Buxar",2022-12-07,2022-12-14,1,7
"97",1637970344380,"Buxar",2022-12-16,2022-12-27,0,11
"98",1649801446466,"Buxar",2022-11-29,2022-11-22,0,-7
"99",1657321896910,"Rohtas",2022-11-27,2022-12-06,0,9
"100",1669631268733,"Rohtas",2022-11-21,2022-12-19,0,28
"101",1679123407554,"Rohtas",2022-12-23,2023-01-05,0,13
"102",1709304192149,"Rohtas",2022-11-28,2022-12-07,0,9
"103",1718789258815,"Rohtas",2022-11-07,2022-11-23,0,16
"104",1729801552218,"Banka",2022-11-09,2022-12-26,0,47
"105",1739472524724,"Banka",2022-11-06,2022-11-29,1,23
"106",1818294186224,"Buxar",2022-12-05,2022-12-11,0,6
"107",1829576560178,"Buxar",2022-12-08,2022-12-23,0,15
"108",1839006725735,"Rohtas",2022-11-08,2022-12-02,0,24
"109",1868521671227,"Rohtas",2022-12-25,2023-01-05,0,11
"110",1878809068988,"Rohtas",2022-11-26,2022-12-14,0,18
"111",1887488127960,"Rohtas",2022-12-02,2023-01-07,0,36
"112",1909955112424,"WestChamparan",2022-11-18,2023-01-11,1,54
"113",1927091258229,"WestChamparan",2022-10-25,2023-01-06,1,73
"114",1968521679182,"WestChamparan",2022-11-04,2022-11-30,1,26
"115",2038969732511,"Rohtas",2022-12-27,2022-12-25,0,-2
"116",2047488334317,"Arah",2022-11-05,2022-11-20,0,15
"117",2057004057218,"Arah",2022-11-19,2022-11-17,0,-2
"118",2068271460532,"Arah",2022-12-17,2022-12-19,0,2
"119",2077667627898,"Arah",2022-11-22,2022-12-01,0,9
"120",2098210948414,"WestChamparan",2022-10-17,2023-01-08,1,83
"121",2117220875415,"WestChamparan",2022-11-17,2022-12-15,1,28
"122",2168235799782,"WestChamparan",2022-11-06,2022-12-08,1,32
"123",2187493004736,"Arah",2022-11-18,2022-11-16,0,-2
"124",2209507429522,"EastChamparan",2022-11-10,2023-01-14,1,65
"125",2237870604108,"WestChamparan",2022-11-09,2022-12-14,1,35
"126",2249162589405,"WestChamparan",2022-10-21,2022-12-04,1,44
"127",2308002961349,"Banka",2022-12-27,2023-01-20,0,24
"128",2319262256639,"Banka",2022-12-21,2023-01-03,1,13
"129",2337250743716,"EastChamparan",2022-10-19,2022-12-28,1,70
"130",2358757864179,"EastChamparan",2022-11-19,2022-12-12,1,23
"131",2407479906601,"Buxar",2022-12-04,2022-12-08,0,4
"132",2467294911239,"Buxar",2022-12-18,2022-12-17,0,-1
"133",2477091375527,"Buxar",2022-12-02,2022-12-16,0,14
"134",2489472621991,"Buxar",2022-12-12,2022-12-10,0,-2
"135",2499113402565,"Buxar",2022-12-26,2022-12-30,0,4
"136",2517250874673,"Buxar",2022-12-18,2022-12-21,0,3
"137",2548789547705,"EastChamparan",2022-11-10,2022-12-19,1,39
"138",2559006486673,"EastChamparan",2022-10-29,2022-11-06,1,8
"139",2587633028469,"EastChamparan",2022-11-01,2022-12-02,1,31
"140",2599456801664,"EastChamparan",2022-10-17,2022-11-21,1,35
"141",2609079259460,"EastChamparan",2022-12-06,2023-01-15,1,40
"142",2618757848679,"EastChamparan",2022-11-29,2022-12-28,1,29
"143",2629525211651,"EastChamparan",2022-11-23,2023-01-11,1,49
"144",2637488159326,"EastChamparan",2022-12-30,2023-01-03,1,4
"145",2646287031015,"EastChamparan",2022-11-10,2022-12-28,1,48
"146",2677348850139,"EastChamparan",2022-11-08,2022-12-12,1,34
"147",2689162515444,"EastChamparan",2022-12-04,2022-12-10,1,6
"148",2707404902534,"EastChamparan",2022-11-10,2022-12-05,1,25
"149",2719006689880,"EastChamparan",2022-11-11,2022-11-16,1,5
"150",2739955054509,"EastChamparan",2022-11-17,2022-12-16,1,29
"151",2779199038208,"EastChamparan",2022-11-02,2022-11-29,0,27
"152",2789931778491,"EastChamparan",2022-11-18,2022-12-11,1,23
"153",2799974132205,"EastChamparan",2022-11-01,2022-12-16,1,45
"154",2808873034006,"EastChamparan",2022-11-15,2022-12-29,0,44
"155",2819546478167,"EastChamparan",2022-12-06,2022-12-12,0,6
"156",2839523389039,"EastChamparan",2022-10-27,2022-12-26,0,60
"157",2859999999999,"EastChamparan",2022-10-25,2022-12-03,1,39
"158",2876209375055,"EastChamparan",2022-11-21,2022-12-15,1,24
"159",2908092630623,"EastChamparan",2022-11-11,2022-12-17,1,36
"160",2916201094358,"EastChamparan",2022-11-03,2022-11-15,1,12
"161",2929997066319,"EastChamparan",2022-11-11,2022-12-09,1,28
"162",2946203498923,"EastChamparan",2022-11-15,2022-12-20,1,35
"163",2979199336971,"EastChamparan",2022-11-11,2022-11-24,1,13
"164",2988521083270,"EastChamparan",2022-10-19,2022-12-31,1,73
"165",2997562092769,"EastChamparan",2022-10-20,2022-12-08,1,49
"166",3019910255912,"EastChamparan",2022-10-16,2022-11-18,1,33
"167",3039934152372,"Buxar",2022-12-05,2022-12-07,0,2
"168",3067352998917,"Buxar",2022-12-11,2022-12-30,0,19
"169",3097079106628,"Buxar",2022-12-04,2022-12-17,0,13
"170",3119971599152,"EastChamparan",2022-11-03,2022-12-28,1,55
"171",3129771178951,"Buxar",2022-12-18,2022-12-20,1,2
"172",3136202858225,"Buxar",2022-12-02,2022-12-10,1,8
"173",3149430264347,"Buxar",2022-11-26,2022-12-07,1,11
"174",3157070806235,"Buxar",2022-11-17,2022-11-22,1,5
"175",3169676971052,"Buxar",2022-12-03,2022-12-08,0,5
"176",3179155386462,"Buxar",2022-12-06,2022-12-09,0,3
"177",3198651185521,"Arah",2022-11-30,2022-11-30,0,0
"178",3209006458925,"Arah",2022-12-18,2022-12-28,0,10
"179",3226201114804,"Arah",2023-01-02,2023-01-14,0,12
"180",3237976511147,"Arah",2022-12-23,2023-01-05,0,13
"181",3268002223588,"Arah",2022-12-29,2022-12-26,0,-3
"182",3289534138619,"Arah",2023-01-04,2023-01-16,0,12
"183",3298529881482,"Arah",2022-11-19,2022-12-26,0,37
"184",3308434784574,"Arah",2022-12-21,2022-12-18,0,-3
"185",3339905397514,"Gaya",2022-12-16,2022-12-30,1,14
"186",3359939389839,"Gaya",2022-10-23,2022-12-13,1,51
"187",3369931523099,"Gaya",2022-10-12,2022-11-24,1,43
"188",3379631326640,"Gaya",2022-11-08,2022-11-21,1,13
"189",3389871057872,"Gaya",2022-12-17,2022-12-24,1,7
"190",3398826489536,"Gaya",2022-11-12,2022-11-19,1,7
"191",3417070119343,"Arah",2022-12-11,2022-12-30,0,19
"192",3457644023184,"Arah",2022-12-18,2022-12-23,0,5
"193",3489570793734,"Arah",2022-11-27,2022-12-21,0,24
"194",3507292997604,"Arah",2022-11-28,2022-12-08,0,10
"195",3559199339495,"Vaishali",2022-11-03,2022-11-23,1,20
"196",3569006760213,"Vaishali",2022-10-20,2022-11-20,1,31
"197",3576203647430,"Vaishali",2022-11-15,2022-11-18,1,3
"198",3619939263164,"Vaishali",2022-10-16,2022-11-13,1,28
"199",3636203819420,"Samastipur",2022-10-23,2022-11-10,1,18
"200",3729162218552,"Madhepura",2022-10-16,2022-11-23,1,38
"201",3789570296898,"Madhepura",2022-12-27,2023-01-12,1,16
"202",3819523842310,"Madhepura",2022-11-01,2022-11-23,1,22
"203",3828084324061,"Vaishali",2022-11-05,2022-12-31,1,56
"204",3839608593049,"Vaishali",2022-11-21,2022-12-21,1,30
"205",3847739436158,"Vaishali",2022-11-29,2023-01-03,1,35
"206",3858757979833,"Vaishali",2022-11-02,2022-11-15,1,13
"207",3869934647396,"Vaishali",2022-11-03,2022-11-30,1,27
"208",3879162663953,"Vaishali",2022-11-17,2022-11-23,1,6
"209",3887033337081,"Vaishali",2022-11-27,2022-12-19,1,22
"210",3907739436475,"Samastipur",2022-12-03,2022-12-12,1,9
"211",3927277976260,"Gaya",2022-12-14,2022-12-31,1,17
"212",3938709053842,"Gaya",2022-11-23,2022-12-13,1,20
"213",3958051200471,"Gaya",2022-11-11,2022-12-27,1,46
"214",3969693914453,"Gaya",2022-12-14,2023-01-22,1,39
"215",3988298403855,"Samastipur",2022-11-19,2022-11-18,1,-1
"216",4057870239256,"Gaya",2022-10-27,2022-11-20,1,24
"217",4066299406559,"Gaya",2022-12-06,2023-01-02,1,27
"218",4079507781560,"Gaya",2022-12-05,2022-12-25,1,20
"219",4088757433322,"Vaishali",2022-10-20,2022-11-10,1,21
"220",4097485038909,"Vaishali",2022-10-31,2022-11-17,1,17
"221",4109631965684,"Vaishali",2022-11-06,2022-11-30,1,24
"222",4119931665281,"Vaishali",2022-10-17,2022-11-06,1,20
"223",4129546803596,"Vaishali",2022-10-31,2022-11-10,1,10
"224",4157667362397,"Arah",2022-12-06,2022-12-16,0,10
"225",4167759978537,"Arah",2022-11-28,2022-12-23,0,25
"226",4178804353346,"Arah",2022-12-23,2023-01-01,0,9
"227",4198709919657,"Arah",2023-01-03,2023-01-20,0,17
"228",4209708046902,"Arah",2022-11-26,2023-01-18,0,53
"229",4218434629070,"Arah",2022-11-24,2022-12-10,0,16
"230",4228969308668,"Madhepura",2022-10-26,2022-11-08,1,13
"231",4278051742782,"Madhepura",2022-11-06,2022-11-16,1,10
"232",4287546827327,"Madhepura",2022-11-28,2022-12-02,1,4
"233",4309973694955,"Madhepura",2022-10-29,2022-11-18,1,20
"234",4349934257226,"Samastipur",2022-10-21,2022-11-03,1,13
"235",4359431208556,"Samastipur",2022-11-14,2022-11-15,1,1
"236",4389939962867,"Samastipur",2022-11-03,2022-11-30,1,27
"237",4397852052407,"Samastipur",2022-12-25,2023-01-14,1,20
"238",4408084379292,"Samastipur",2022-11-08,2022-11-30,1,22
"239",4439934885367,"Samastipur",2022-10-15,2022-11-18,1,34
"240",4449006612872,"Samastipur",2022-11-08,2022-12-28,1,50
"241",4487488923093,"Vaishali",2022-11-17,2022-12-17,1,30
"242",4519060237692,"Vaishali",2022-11-03,2022-12-15,1,42
"243",4558102823263,"Gaya",2022-11-30,2022-12-10,1,10
"244",4568102992694,"Gaya",2022-12-12,2022-12-10,1,-2
"245",4579801669840,"Gaya",2022-12-07,2022-12-10,1,3
"246",4586206224216,"Gaya",2022-11-28,2022-12-11,1,13
"247",4608294335245,"Gaya",2022-11-13,2022-12-25,1,42
"248",4617004266906,"Gaya",2022-11-27,2022-11-27,1,0
"249",4629350372450,"Madhepura",2022-12-07,2022-12-23,1,16
"250",4647367858335,"Madhepura",2022-11-03,2022-11-25,1,22
"251",4689264164368,"Vaishali",2022-11-05,2022-12-30,1,55
"252",4706200019325,"Vaishali",2022-10-20,2022-11-30,1,41
"253",4717004288176,"Vaishali",2022-11-14,2022-12-04,1,20
"254",4739162778478,"Vaishali",2022-11-04,2022-11-23,1,19
"255",4747050416218,"Vaishali",2022-10-20,2022-11-06,1,17
"256",4777352471848,"Arah",2022-11-22,2023-01-06,0,45
"257",4809304975722,"Arah",2022-11-30,2022-12-19,0,19
"258",4819576900136,"Arah",2022-12-09,2022-12-15,0,6
"259",4847319663644,"Arah",2022-11-23,2022-12-16,0,23
"260",4867091950783,"Arah",2022-12-10,2022-12-08,0,-2
"261",4878986004228,"Arah",2022-11-27,2022-12-03,0,6
"262",4897762025347,"Samastipur",2022-11-14,2022-12-28,1,44
"263",4919006832152,"Samastipur",2022-11-05,2022-12-03,1,28
"264",4929199243398,"Samastipur",2022-10-16,2022-11-03,1,18
"265",4937667204375,"Samastipur",2022-11-22,2022-11-23,1,1
"266",4957481874366,"Samastipur",2022-11-08,2022-11-22,1,14
"267",4988073465919,"Lakhisarai",2022-12-03,2022-12-17,1,14
"268",5009162081131,"Buxar",2022-11-29,2022-12-13,1,14
"269",5019931231652,"Buxar",2022-12-28,2022-12-26,1,-2
"270",5029631143850,"Buxar",2022-12-01,2022-12-25,1,24
"271",5038084777858,"Buxar",2022-12-07,2022-12-12,1,5
"272",5059771101269,"Madhepura",2022-11-02,2022-12-21,1,49
"273",5068298349316,"Madhepura",2022-11-20,2022-11-22,1,2
"274",5077281037095,"Madhepura",2022-11-14,2022-11-24,1,10
"275",5089708279239,"Madhepura",2022-11-12,2022-12-01,1,19
"276",5099570495925,"Madhepura",2022-10-27,2022-11-15,1,19
"277",5109709986615,"Madhepura",2022-11-20,2022-11-30,1,10
"278",5119631292704,"Vaishali",2022-11-07,2022-11-23,1,16
"279",5169182834656,"Samastipur",2022-11-02,2022-11-30,1,28
"280",5179934469871,"Samastipur",2022-10-31,2022-11-30,1,30
